race_id,race_name,season,rain_fp1,avg_airtemp_fp1,avg_tracktemp_fp1,high_windspeed_fp1,avg_windspeed_fp1,rain_fp2,avg_airtemp_fp2,avg_tracktemp_fp2,high_windspeed_fp2,avg_windspeed_fp2,rain_fp3,avg_airtemp_fp3,avg_tracktemp_fp3,high_windspeed_fp3,avg_windspeed_fp3,rain_quali,avg_airtemp_quali,avg_tracktemp_quali,high_windspeed_quali,avg_windspeed_quali,rain_race,avg_airtemp_race,avg_tracktemp_race,high_windspeed_race,avg_windspeed_race,rain_sprint,avg_airtemp_sprint,avg_tracktemp_sprint,high_windspeed_sprint,avg_windspeed_sprint
22,Abu Dhabi Grand Prix,2023,0,28.511111111111113,41.34444444444445,2.7,2.3666666666666667,0,26.933333333333334,33.400000000000006,1.7,1.2222222222222223,0,28.84444444444445,42.266666666666666,3,2.5666666666666664,0,26.7625,31.9375,2,1.6125,0,26.98125,33.58125,3,1.9500000000000002,0,0,0,0,0
1,Bahrain Grand Prix,2024,0,19.366666666666667,34.21111111111111,3.8,3.533333333333333,0,17.22222222222222,22.133333333333333,3,2.411111111111111,0,20.255555555555556,32.055555555555564,4,2.9555555555555557,0,18.0875,21.5375,2.9,2.3000000000000003,0,18.25625,23.75,1.6,0.7375,0,0,0,0,0
2,Saudi Arabian Grand Prix,2024,0,26.799999999999997,39.800000000000004,5.5,4.7,0,25.34,30.610000000000003,4.1,2.69,0,25.966666666666665,39.68888888888889,5.1,4.322222222222223,0,25.07,30.839999999999996,2.3,1.49,0,25.540000000000003,31.639999999999997,2.6,1.3933333333333333,0,0,0,0,0
3,Australian Grand Prix,2024,0,18.46666666666667,33.71111111111111,1.9,1.2666666666666666,0,20.18888888888889,36.22222222222222,2.5,1.8666666666666667,0,18.255555555555556,27.577777777777776,2.4,1.6666666666666667,0,18.7,34.474999999999994,2.7,1.8375,0,20.586666666666666,38.419999999999995,1.8,0.9599999999999999,0,0,0,0,0
4,Japanese Grand Prix,2024,0,16.650000000000002,24.5,1.9,1.1,1,13.066666666666668,16.8,1.6,0.8333333333333334,0,17.3,26.487499999999997,2.2,1.375,0,17.5125,26.775000000000002,2.2,1.6375,0,21.657894736842106,37.37894736842105,3.1,1.9894736842105265,0,0,0,0,0
5,Chinese Grand Prix,2024,0,23.122222222222224,39.411111111111104,2.1,1.2555555555555555,0,0,0,0,0,0,0,0,0,0,0,22.099999999999998,34,3.2,1.7111111111111112,0,18.647058823529413,29.858823529411765,3.5,1.6117647058823528,0,19.7,26.65,3.4,2.6
6,Miami Grand Prix,2024,0,28.7125,49.462500000000006,4.7,3.4,0,0,0,0,0,0,0,0,0,0,0,29.0875,47.15,3.8,3.0125,0,28.54,44.699999999999996,4.2,3.04,0,28.72222222222222,44.62222222222223,3.5,2.8000000000000003
7,Emilia Romagna Grand Prix,2024,0,23.9125,43.262499999999996,4.9,4.075,0,24.3625,36.9,4.6,2.7874999999999996,0,23.625,44.2125,2.7,2.05,0,24.175,41.912499999999994,3.6,2.775,0,25.113333333333333,42.180000000000014,3.7,1.8333333333333335,0,0,0,0,0
8,Monaco Grand Prix,2024,0,20.7,35.4625,1.5,0.8374999999999999,0,20.788888888888888,31.22222222222222,1.1,0.9666666666666668,0,21.7125,46.7125,1.1,0.75,0,21.25,45.3,1.8,1.0750000000000002,0,21.595000000000002,46.660000000000004,2.5,0.9549999999999998,0,0,0,0,0
9,Canadian Grand Prix,2024,1,18.175,28.5,2.1,1.025,1,19.05,25.75,2.9,1.4375,0,20.855555555555558,36.022222222222226,2.7,1.7777777777777777,1,20.5625,31.3625,2.6,1.775,1,17.094117647058823,23.182352941176468,2.1,1.2000000000000002,0,0,0,0,0
